SalePrice,Garage Cars,Gr Liv Area,Overall Qual,Year Built,Lot Area
144000,2.0,1056,6,1980,6979
162000,2.0,1287,5,1959,9830
242000,2.0,2978,7,1967,11275
132000,1.0,1224,6,1948,8064
154000,1.0,1246,5,1959,7500
166000,2.0,1385,5,1952,8520
134800,2.0,900,5,1951,7200
160000,2.0,1116,6,1962,10000
148000,2.0,1175,5,1960,7635
192000,2.0,1395,6,1963,9760
155000,2.0,1839,6,1966,7700
80400,1.0,1844,4,1900,4800
96500,0.0,1140,4,1910,8800
109500,0.0,936,5,1920,4485
115000,2.0,1028,5,1927,8960
143000,2.0,1347,5,1957,5805
107400,1.0,1605,3,1915,5790
80000,1.0,747,4,1945,4608
119000,1.0,804,5,1940,7200
130000,2.0,1316,5,1929,5500
119000,1.0,1251,6,1938,6900
129000,1.0,1633,5,1948,11851
100000,1.0,1245,5,1920,8239
12789,2.0,832,2,1923,9656
105900,2.0,720,6,1928,8520
150000,1.0,1566,8,1900,9600
139000,1.0,1652,5,1915,10800
240000,2.0,2268,8,1890,9000
76500,0.0,2256,5,1910,9045
149700,2.0,1236,6,1957,7407
125500,2.0,1363,4,1910,7740
122500,2.0,2290,4,1885,11340
140750,2.0,1470,6,1922,10560
128500,1.0,1612,5,1950,5830
209500,1.0,2068,7,1922,7793
87000,1.0,765,4,1925,5000
134000,1.0,1132,6,1939,6000
128000,2.0,1196,6,1940,6000
132000,1.0,1453,5,1942,6360
139900,1.0,1416,6,1948,6000
123900,2.0,1040,5,1936,6240
138400,2.0,1536,5,1930,6240
109500,1.0,1068,6,1923,6120
140000,2.0,1710,7,1921,10300
149500,2.0,1962,4,1915,8094
159900,0.0,1560,6,1912,12900
122000,1.0,1324,6,1920,3068
110000,2.0,816,5,1963,8472
55000,0.0,1092,4,1930,5600
140000,2.0,1812,5,1900,7630
244400,1.0,2403,7,1940,24090
173000,1.0,1675,5,1959,15263
107500,1.0,1224,5,1917,10632
100000,0.0,1392,5,1915,9900
95000,1.0,919,6,1940,6001
93369,0.0,1884,4,1907,6449
114900,2.0,1680,5,1910,6048
94000,0.0,1020,5,1875,6342
136000,0.0,1832,4,1967,10773
136500,0.0,1768,4,1968,10778
131500,2.0,1039,5,1965,11625
121500,2.0,1392,5,1957,11341
125000,1.0,912,5,1967,8521
154000,1.0,1060,5,1968,8246
137900,1.0,892,5,1966,7800
158000,1.0,1352,6,1969,9364
137250,1.0,864,5,1968,7832
160250,2.0,1373,5,1978,7424
163000,2.0,1440,5,1968,11227
158900,2.0,1386,6,1978,11616
328000,2.0,2260,7,1996,14000
270000,2.0,1483,7,1977,20062
85000,2.0,756,4,1927,9259
128000,2.0,1067,4,1950,9600
260000,2.0,1524,7,1979,23595
230000,2.0,1981,6,1978,17082
124000,1.0,1610,3,1938,18600
83000,1.0,835,5,1920,10625
144500,1.0,1074,6,1950,11479
129000,1.0,1144,5,1956,9571
127000,1.0,1531,4,1947,9350
128000,1.0,1172,5,1954,9525
186000,2.0,1212,6,2009,10420
308030,2.0,1508,7,2009,17485
114000,2.0,1298,5,1964,11200
84900,1.0,930,4,1946,11100
178000,2.0,1732,6,1985,9206
270000,2.0,1433,7,1987,11980
218000,4.0,1802,6,1993,12361
236000,2.0,1949,7,1993,9938
147000,2.0,996,6,1992,9069
245350,3.0,1694,8,2008,10475
206000,2.0,1208,7,2006,6762
198900,3.0,1226,7,2009,10402
187000,2.0,1222,7,2010,7360
320000,3.0,3222,7,1990,12376
138500,2.0,1445,6,1900,14235
155000,2.0,1052,6,1971,8816
159000,2.0,965,5,1996,11105
191000,2.0,1692,7,1997,9337
200500,2.0,1682,6,1998,8750
150000,1.0,1026,5,1977,15240
161750,1.0,1392,6,1977,10900
128200,1.0,894,5,1976,10650
127000,2.0,876,5,1972,7480
318000,3.0,1978,8,2003,10389
272000,2.0,1601,8,2001,11423
237000,2.0,1829,7,2003,9548
240000,2.0,2098,7,1997,9375
224900,2.0,1661,7,1998,12137
143750,2.0,848,6,2003,4435
143000,2.0,848,6,2004,4426
232000,2.0,1668,8,2003,10635
213000,2.0,1484,7,2004,8400
185500,2.0,1414,7,2004,8773
84900,1.0,640,3,1945,8777
155891,1.0,992,5,1954,8842
100000,0.0,1664,5,1965,9825
144000,1.0,1196,5,1968,10044
64000,2.0,1120,4,1948,11792
125200,1.0,1096,6,1975,6305
107000,2.0,1117,6,1976,7819
90000,0.0,960,4,1958,6410
140000,2.0,1121,4,2003,8546
113000,1.0,1487,6,1945,8741
80000,1.0,924,4,1941,12180
144500,1.0,1526,5,1957,8562
104000,1.0,1296,5,1924,4853
128000,1.0,1647,6,1915,6858
58500,1.0,864,3,1914,8212
127000,1.0,1691,5,1924,5000
126000,2.0,856,6,1939,7890
160000,0.0,2650,4,1967,7200
100000,0.0,1666,5,1931,9839
169000,1.0,2447,6,1919,9638
257500,1.0,2133,7,1941,10452
215000,2.0,2177,5,1950,15600
266500,1.0,2340,7,1941,9042
335000,2.0,1902,7,1959,17500
203135,2.0,1652,7,1994,19645
185000,2.0,1034,8,1989,3907
162500,2.0,1191,8,1989,3907
289000,2.0,1801,7,1959,15602
125500,1.0,1154,4,1922,5436
82000,1.0,540,2,1941,8154
110000,1.0,1107,6,1921,9140
68400,2.0,1128,4,1920,7500
102776,1.0,1178,4,1900,8712
55993,2.0,1044,5,1952,8712
50138,1.0,952,4,1896,8712
246000,2.0,1646,8,2004,3811
254900,3.0,1916,8,1998,11050
190000,2.0,1285,6,1977,9620
201000,2.0,1560,7,2003,9196
169900,3.0,1034,6,1976,12328
170000,2.0,2048,6,1976,12760
160000,2.0,1687,5,1948,57200
220000,3.0,1346,7,2008,11896
179781,2.0,1214,7,2009,9803
174000,2.0,1444,5,2006,9802
269500,3.0,1968,8,2009,12003
214900,2.0,1894,7,2002,11316
202900,2.0,1908,8,2002,14191
378500,3.0,2018,9,2008,13214
169000,2.0,1264,5,1965,15300
173500,2.0,1430,5,2004,10114
139000,0.0,1824,6,1971,9400
166500,2.0,1344,5,1999,11875
83500,1.0,1092,4,1973,1974
119500,1.0,945,5,1973,2394
85000,1.0,1112,5,1976,2592
76000,0.0,1092,4,1970,1476
75500,0.0,630,4,1972,1491
88250,0.0,1092,4,1970,1900
85500,1.0,1092,4,1972,1890
130000,1.0,874,5,1971,6953
157900,1.0,1188,5,1962,26142
149900,2.0,833,5,1984,12887
159000,2.0,2432,5,1985,7700
136000,2.0,1274,5,1991,10475
161000,1.0,1479,5,1969,10544
285000,2.0,1803,8,1994,9892
231000,2.0,1797,6,1993,12961
124500,1.0,882,6,1956,13008
157000,2.0,1434,6,1974,10200
345000,2.0,2704,8,1972,13860
189500,2.0,1608,6,1997,10179
270000,3.0,2283,8,2003,11792
189000,2.0,1628,7,1996,8400
377500,3.0,1746,9,2006,14892
168500,2.0,1474,7,1995,8530
375000,2.0,2522,8,2004,7296
278000,2.0,1659,8,2000,5664
240000,2.0,1478,8,1998,7380
239500,2.0,1734,8,1995,8013
177500,2.0,1382,7,1998,8923
185000,2.0,1718,7,1998,10141
191000,2.0,1636,6,1998,7500
178000,2.0,1571,6,1993,7837
185000,2.0,1470,6,1993,9765
181316,2.0,1516,6,1994,8803
166000,2.0,1190,6,1993,7250
178000,2.0,1593,6,1992,9636
174000,2.0,1481,6,1994,8125
173000,2.0,1167,6,1992,9248
225000,2.0,1983,7,1999,10762
180500,2.0,1442,7,1990,11851
187500,2.0,1360,8,1984,5814
501837,3.0,2234,9,2008,17423
372500,3.0,2046,8,2008,11844
260000,2.0,1530,7,2005,16158
185000,2.0,1934,5,1977,11900
260000,2.0,2353,7,1980,13005
181000,2.0,1586,6,1979,17043
82500,2.0,1411,7,1977,11900
215000,2.0,1602,6,1977,16635
154000,2.0,2050,7,1978,13250
200000,2.0,1671,6,1978,10928
249000,2.0,2673,7,1980,12388
187500,2.0,1472,7,1980,14115
184000,2.0,1707,6,1978,11088
278000,2.0,2524,8,1981,9600
157000,2.0,1601,7,1978,11880
152000,2.0,1370,7,1976,10400
197500,2.0,1868,5,1976,10304
240900,2.0,1884,7,2003,7000
263435,2.0,1935,8,2009,8004
220000,2.0,1874,8,2000,7500
235000,2.0,1811,8,2002,8470
213000,2.0,1621,5,1975,9373
167900,2.0,1116,6,1974,10140
158000,2.0,1193,7,1975,11050
165000,2.0,1350,6,1974,10140
158000,2.0,2119,6,1972,10448
136000,0.0,1792,5,1974,9000
148500,2.0,1002,5,1970,8750
156000,2.0,1026,6,1969,7930
128000,2.0,1180,5,1970,7830
143000,1.0,1050,5,1971,8510
76500,2.0,864,4,1970,7038
120500,2.0,864,4,1970,6960
124500,2.0,864,4,1970,8120
97000,2.0,864,4,1971,10500
130000,2.0,864,4,1971,9000
111000,1.0,987,6,1973,1680
125000,2.0,1365,5,1970,2368
112000,1.0,1302,5,1971,1680
97000,1.0,987,6,1972,1680
118000,1.0,987,6,1972,1680
119500,1.0,1302,5,1972,1680
143750,2.0,958,6,1976,4928
146000,2.0,1548,6,1976,2308
148500,2.0,1456,6,1976,2280
123000,2.0,1055,7,1975,2280
147000,2.0,1322,6,1974,2308
137900,2.0,1456,6,1977,2349
147000,2.0,1548,6,1978,2364
148500,2.0,1441,6,1978,2289
138000,2.0,1456,6,1978,2364
128500,1.0,836,7,1976,2104
100000,1.0,892,5,1967,7150
148800,2.0,1120,5,1966,10710
337500,3.0,1718,10,2006,12456
462000,3.0,2772,9,2007,14257
485000,3.0,3140,9,2008,13518
555000,3.0,2402,10,2008,15431
325000,2.0,1652,9,2006,13173
256300,3.0,1600,8,2007,14230
253293,3.0,2042,8,2008,12704
398800,3.0,2690,9,2009,12350
335000,3.0,2184,9,2008,11308
404000,3.0,2020,9,2008,12350
402861,3.0,2020,10,2009,12220
451950,3.0,2296,10,2008,13478
610000,3.0,2674,10,2007,13693
582933,3.0,2822,9,2008,13891
360000,3.0,1736,9,2008,11578
296000,3.0,1782,8,2004,16870
409900,3.0,2520,8,2007,23303
255500,3.0,1717,8,2006,11146
335000,3.0,1743,9,2008,10367
274900,3.0,1713,8,2004,9591
300000,3.0,1531,9,2006,10872
324000,3.0,1808,9,2008,13514
350000,3.0,2224,9,2004,8834
280000,3.0,1836,8,2004,11362
284000,3.0,1629,8,2003,10655
269500,2.0,1760,7,2003,12878
233170,2.0,1502,7,2009,9541
386250,3.0,2392,10,2003,13472
445000,3.0,2452,9,2003,15274
290000,3.0,2400,8,2003,13262
255900,3.0,1606,8,2006,9658
213000,2.0,1358,6,2005,6904
196000,2.0,1306,6,2005,5381
184500,2.0,1306,6,2005,5122
212500,2.0,1358,7,2007,10307
230000,2.0,1314,7,2007,5001
552000,3.0,2492,10,2004,14836
382500,3.0,2200,8,2003,15262
320000,2.0,1884,9,2008,7390
248500,2.0,1456,9,2008,6472
286500,3.0,1712,8,2002,16770
254000,2.0,1324,8,2006,6240
173000,2.0,1405,7,2003,3480
173000,2.0,1626,7,2003,2268
184000,2.0,1456,7,2005,10928
167800,2.0,1490,6,2005,8918
174000,2.0,1484,6,2005,12589
174000,2.0,1560,6,2005,11911
174000,3.0,1555,7,2007,3684
175900,3.0,1569,7,2007,3635
192500,2.0,1555,7,2005,3182
181000,2.0,1504,7,2005,3182
180000,2.0,1220,7,2005,3182
160200,2.0,1145,7,2005,3182
188500,2.0,1432,7,2004,7795
200000,2.0,2267,6,2002,8068
170000,2.0,1374,7,2004,9434
189500,2.0,1630,7,2004,7984
184100,2.0,1419,8,2002,7750
195500,2.0,1594,7,2004,10125
192000,2.0,1489,7,2003,8965
178000,2.0,1342,7,2003,8174
207500,2.0,1314,7,2007,5063
236000,2.0,2256,7,2000,8795
257500,3.0,2004,8,2002,12891
244000,2.0,2054,6,2000,12224
167000,2.0,1374,7,2004,9734
179000,2.0,1800,6,2000,8123
190000,2.0,1514,6,2000,8433
156000,2.0,1430,7,1999,7750
245000,3.0,2312,7,1999,15896
181000,2.0,1675,6,1999,24682
214000,2.0,2060,7,1999,8755
168000,2.0,1430,7,1999,7848
337000,3.0,2365,8,1999,9430
403000,3.0,2794,8,1995,15138
327000,3.0,2687,8,2000,12720
340000,3.0,2450,8,1998,16545
336000,3.0,2612,8,1998,12203
265000,3.0,2344,7,1996,10208
315000,3.0,2063,8,1994,10750
260000,3.0,2646,7,1993,9900
260000,2.0,2061,7,1995,9085
263550,2.0,2232,8,1993,11692
402000,3.0,2448,8,1994,46589
248000,2.0,1850,7,1994,29959
244600,3.0,1468,8,2008,9612
275000,3.0,1696,8,2008,11194
257500,3.0,1658,8,2008,10206
287090,3.0,1578,8,2008,9262
275500,3.0,1702,8,2007,10130
245000,2.0,1432,8,2006,9139
253000,2.0,1971,7,2005,9675
468000,3.0,2490,9,2005,11128
252678,2.0,1852,7,2009,8640
210000,2.0,1590,8,2008,9000
208300,2.0,1218,6,2009,7862
225000,2.0,1436,7,2008,7993
229456,2.0,1314,8,2009,8640
229800,2.0,1402,7,2008,8640
250000,3.0,1530,9,2007,12606
370878,3.0,1766,9,2009,9187
238500,2.0,1448,8,2006,7500
310000,3.0,2007,10,2008,11003
270000,3.0,1795,8,2006,10603
252000,3.0,1953,8,2005,10574
241000,2.0,1550,7,2006,8125
264500,2.0,1836,8,2008,8125
291000,3.0,1662,7,2006,10625
263000,2.0,2094,7,2003,9375
185000,2.0,1221,7,2004,7500
234500,2.0,1553,7,2003,8736
209000,2.0,1653,7,2003,8127
159000,2.0,1218,7,2007,9605
152000,2.0,1141,7,2006,7500
143500,0.0,1158,6,2004,7500
193000,2.0,1812,7,2004,10628
203000,3.0,1512,8,2004,10141
184900,2.0,1200,7,2003,10083
159000,2.0,1114,7,2004,13072
142000,0.0,1114,5,2004,13072
153000,2.0,1114,5,2003,12450
224243,3.0,1450,7,2008,7328
220000,2.0,2122,7,1996,11492
257000,2.0,1844,8,2005,10994
189000,2.0,1434,7,2001,8529
171500,2.0,1730,6,1992,7703
120000,1.0,1217,6,1980,10762
145000,2.0,1332,6,1990,7175
184000,2.0,1540,7,1994,9109
162000,2.0,1400,6,1986,10274
160000,2.0,1882,6,1981,8250
82000,1.0,841,4,1950,8400
76000,2.0,784,6,1928,9000
110000,2.0,980,5,1962,9750
135000,2.0,980,5,1977,7064
141000,2.0,864,5,1961,8499
122000,1.0,864,5,1961,9079
124100,1.0,1020,5,1965,9316
129000,1.0,912,5,1963,7791
131400,1.0,1144,5,1961,10000
62383,1.0,864,5,1965,8281
123000,1.0,912,5,1962,7150
275000,3.0,2014,8,1980,15676
235000,2.0,1755,7,1991,11949
280750,3.0,3005,7,2004,2880
164500,2.0,1224,6,2009,3951
173733,2.0,1224,6,2009,3000
222000,2.0,1726,6,2008,3830
195000,2.0,1256,6,2008,4217
172500,2.0,1471,6,1999,3230
180000,2.0,1512,6,2000,2998
156000,2.0,1452,7,1999,3768
172500,2.0,1739,8,1999,2645
318750,2.0,1694,8,1977,14694
211500,2.0,1226,8,1981,3782
241600,2.0,1740,7,1981,15417
180500,2.0,2499,8,1976,9600
150000,2.0,1620,4,1976,9991
154000,2.0,1556,6,1968,11700
185000,2.0,1442,6,1970,11717
185750,2.0,1489,6,1968,9156
200000,2.0,2090,7,1973,10382
206000,2.0,2067,7,1974,12732
162000,2.0,1395,6,1972,12936
256900,2.0,2640,6,1967,10400
197900,2.0,1724,6,1967,17871
163000,2.0,1336,5,1969,9600
113000,1.0,1216,6,1969,9000
230000,2.0,2288,7,1977,13774
167900,2.0,1334,6,1977,9650
213250,2.0,1680,7,1998,10140
227000,2.0,1665,8,2001,8400
130000,1.0,864,5,1967,7130
143000,2.0,1568,5,1967,9600
117500,1.0,925,5,1965,9100
168500,2.0,2061,7,1974,9600
172500,2.0,1320,6,1971,16500
161500,2.0,1342,6,1967,9790
141500,2.0,894,4,1960,7436
118000,1.0,864,5,1959,8125
127500,1.0,864,6,1959,9100
140000,3.0,1362,4,1957,9450
177625,2.0,1728,5,1956,13495
110000,3.0,1776,5,1958,11475
167000,2.0,1516,6,1964,10004
153000,2.0,1313,5,1961,9350
145100,2.0,1292,5,1964,10500
154000,2.0,1154,5,1966,11000
177500,2.0,2140,5,1965,8970
158000,2.0,1445,6,1964,12095
124500,1.0,1041,5,1959,9600
174500,2.0,1576,6,1961,11475
122000,1.0,960,5,1955,9768
82500,0.0,708,4,1940,5330
110000,1.0,1203,5,1950,7015
149500,2.0,1505,6,1953,12160
175000,2.0,1691,6,1967,9900
167000,2.0,1644,6,1953,9600
128900,1.0,1050,5,1956,9600
140000,1.0,1668,6,1950,9600
147000,1.0,1113,5,1950,9600
124000,3.0,1584,5,1967,8944
187500,2.0,1453,6,1961,10573
159000,2.0,1394,6,1963,9500
256000,2.0,1567,6,1966,14695
205000,2.0,1986,7,1965,13600
193500,1.0,2142,6,1968,13000
110000,2.0,1392,6,1968,13560
104900,1.0,1738,4,1920,12513
150000,1.0,1144,5,1956,8760
156500,2.0,1478,6,1957,8400
176000,2.0,1329,7,1960,12285
149500,1.0,988,6,1959,9240
139000,1.0,1632,6,1958,9600
155000,1.0,1215,6,1958,12400
120000,1.0,1202,5,1956,8750
153000,1.0,1382,5,1955,8750
144000,1.0,1200,4,1956,10400
176000,2.0,1382,6,1962,19296
153000,2.0,1297,5,1954,8532
135000,2.0,1866,5,1958,9482
131000,1.0,1062,6,1954,8128
123000,1.0,1319,5,1953,10634
126000,2.0,1112,5,1951,13070
115000,2.0,1005,4,1955,10434
164900,1.0,1363,5,1951,14559
113000,1.0,793,5,1945,8480
145500,1.0,1031,5,1952,7626
102900,1.0,1210,5,1953,9533
95000,2.0,1699,3,1900,10615
152500,2.0,1527,7,1948,11419
129900,1.0,1200,5,1950,9600
132000,1.0,972,6,1948,8000
99900,1.0,792,3,1958,5470
135000,1.0,1656,5,1916,10410
149000,2.0,1352,5,1939,10800
114000,1.0,1039,4,1900,8146
109500,1.0,792,5,1924,9022
125000,1.0,1078,5,1925,10230
142900,2.0,2377,4,1915,10410
156500,2.0,1690,7,1910,7200
59000,0.0,599,2,1940,5400
105000,1.0,1374,4,1920,5400
106000,2.0,846,5,1920,10800
78500,1.0,725,3,1890,10800
190000,3.0,2544,6,1969,9671
154000,1.0,1380,6,1963,10143
163000,2.0,1040,6,1967,11500
200000,4.0,2634,5,1969,11643
143500,2.0,951,6,1958,8010
135000,1.0,1105,6,1957,10454
153000,1.0,1306,5,1957,8712
157500,2.0,1478,6,1960,17600
113500,1.0,1142,6,1958,9000
133000,1.0,1268,5,1949,12144
92900,2.0,1040,3,1950,8544
128500,2.0,1133,6,1950,8064
90000,2.0,1040,4,1949,7200
138000,1.0,1904,5,1950,7200
128000,1.0,1041,5,1958,7350
139000,1.0,1339,5,1958,7560
118900,1.0,732,5,1952,7200
138000,1.0,1183,5,1959,8000
132500,1.0,1148,5,1959,7931
133500,1.0,1461,4,1949,10800
135000,2.0,1495,6,1948,8064
144750,2.0,1806,6,1964,7570
145000,2.0,941,5,1978,8604
127000,1.0,1045,6,1963,7936
109500,1.0,894,5,1962,6600
115000,1.0,1224,6,1926,3950
110000,2.0,1230,5,1910,10440
128900,1.0,1378,6,1935,4080
103500,2.0,1944,6,1910,10307
66500,1.0,1131,5,1941,5720
130000,2.0,1306,5,1910,15660
129000,0.0,1464,5,1910,9900
150000,2.0,1558,5,1939,6406
107500,1.0,2372,5,1892,6600
94550,0.0,1701,4,1920,7627
124500,2.0,1960,5,1952,7596
135000,1.0,1389,7,1946,3378
103000,0.0,1447,5,1910,10134
93000,2.0,936,4,1953,6000
129500,1.0,1328,5,1950,6000
93000,1.0,1387,5,1954,6000
80000,2.0,861,4,1920,7404
45000,1.0,612,2,1940,5925
37900,0.0,968,3,1910,5925
91300,1.0,886,5,1938,5784
99500,1.0,792,5,1923,8520
113000,0.0,1452,4,1920,4456
87500,2.0,1510,4,1910,9600
110000,1.0,1284,5,1947,3500
106000,2.0,2138,5,1898,8100
265979,4.0,2640,7,1880,11700
160000,1.0,2007,6,1900,8400
119000,1.0,1288,6,1917,3600
168000,2.0,1742,8,1882,17671
58500,0.0,816,4,1910,3300
143000,2.0,1482,7,1920,9000
85000,1.0,1022,5,1910,7200
124900,2.0,1869,5,1890,8820
119000,1.0,1480,6,1920,5400
146500,3.0,1521,6,1910,9720
34900,0.0,720,4,1920,7879
44000,0.0,797,3,1900,9392
223500,2.0,1576,5,1923,21384
149000,1.0,1432,6,1923,6615
205000,2.0,1548,7,1925,7264
137000,1.0,1654,5,1930,4960
121000,1.0,952,6,1916,8854
128000,1.0,1324,4,1936,6000
134900,2.0,1176,6,1937,6000
117000,1.0,1348,5,1925,6000
132500,1.0,1412,6,1939,6000
93000,1.0,1142,5,1924,6000
119000,1.0,904,6,1926,6000
100000,2.0,1301,5,1924,6911
141500,2.0,1539,5,1936,6120
133000,1.0,1573,4,1935,6120
60000,0.0,800,2,1936,6120
105000,1.0,875,5,1931,6120
115000,1.0,995,5,1925,6120
150000,1.0,1582,5,1938,6120
126500,5.0,1072,5,1925,8635
214500,2.0,2134,6,1916,11888
167500,2.0,2019,7,1910,11414
155000,2.0,1768,6,1915,8094
155000,1.0,1826,7,1915,2500
179900,1.0,1944,7,1915,9928
104000,0.0,2229,6,1912,5520
62500,0.0,2128,5,1922,3000
149000,1.0,1930,6,1927,6876
103000,2.0,1208,4,1925,6240
123000,1.0,1427,6,1915,5775
97500,0.0,1864,7,1902,5852
135000,1.0,1666,6,1927,5160
70000,0.0,892,4,1923,5160
116000,1.0,1403,6,1915,10320
88750,1.0,704,4,1946,4280
179000,0.0,1200,5,1987,10800
179000,0.0,1200,5,1987,10800
159900,1.0,1152,5,1978,10547
61000,0.0,904,1,1922,10020
103600,1.0,1369,6,1925,6629
63000,1.0,1112,5,1934,9780
175000,2.0,1464,5,1963,12886
139000,2.0,1121,5,1963,8816
172500,2.0,1683,6,1978,11184
113500,1.0,1052,5,1967,11625
130000,1.0,899,5,1967,7800
149900,2.0,1034,6,1978,8014
134900,2.0,858,5,1982,7252
137000,2.0,860,5,1982,8740
139000,1.0,1092,5,1962,11616
165000,1.0,1774,5,1961,15400
148000,2.0,1138,6,1960,15312
